,State_name,Sector,Sex,Age,Marital_Status,Year_Edu,LFPR
166,Kerala,0,0,45,1,10,1
167,Kerala,0,1,38,1,10,0
168,Kerala,0,1,11,0,5,0
169,Kerala,0,1,9,0,4,0
170,Kerala,0,0,72,1,0,1
171,Kerala,0,1,62,1,0,1
172,Kerala,0,0,30,0,10,1
173,Kerala,0,0,40,1,12,1
174,Kerala,0,1,29,1,10,0
175,Kerala,0,0,3,0,0,0
176,Kerala,0,0,67,1,3,1
177,Kerala,0,1,65,1,0,1
178,Kerala,0,0,45,1,8,1
179,Kerala,0,1,36,1,9,1
180,Kerala,0,0,8,0,2,0
181,Kerala,0,0,3,0,0,0
182,Kerala,0,0,55,1,8,1
183,Kerala,0,1,49,1,9,1
184,Kerala,0,1,23,0,17,1
185,Kerala,0,1,19,0,13,0
186,Kerala,0,1,30,1,12,0
187,Kerala,0,0,5,0,0,0
188,Kerala,0,0,3,0,0,0
189,Kerala,0,1,10,0,4,0
190,Kerala,0,0,50,1,10,1
191,Kerala,0,1,42,1,9,0
192,Kerala,0,1,20,0,14,0
193,Kerala,0,0,70,1,0,0
194,Kerala,0,1,62,1,5,0
195,Kerala,0,0,57,1,8,1
196,Kerala,0,1,50,1,8,0
197,Kerala,0,0,27,0,17,1
198,Kerala,0,0,65,1,8,0
199,Kerala,0,1,56,1,9,0
200,Kerala,0,0,30,0,10,1
201,Kerala,0,0,27,0,10,1
202,Kerala,0,0,63,1,9,1
203,Kerala,0,1,58,1,5,0
204,Kerala,0,0,25,0,15,1
205,Kerala,0,1,37,1,10,0
206,Kerala,0,0,14,0,9,0
207,Kerala,0,1,12,0,6,0
208,Kerala,0,0,56,1,7,1
209,Kerala,0,1,42,1,8,0
210,Kerala,0,0,25,0,13,1
211,Kerala,0,0,20,0,13,0
212,Kerala,0,0,45,1,10,1
213,Kerala,0,1,35,1,15,1
214,Kerala,0,1,14,0,8,0
215,Kerala,0,1,11,0,5,0
216,Kerala,0,0,75,1,0,0
217,Kerala,0,1,66,1,0,0
218,Kerala,0,1,28,1,9,0
219,Kerala,0,0,9,0,2,0
220,Kerala,0,1,10,0,4,0
221,Kerala,0,1,24,1,15,1
222,Kerala,0,1,1,0,0,0
223,Kerala,0,0,39,1,12,1
224,Kerala,0,1,25,1,4,0
225,Kerala,0,1,9,0,3,0
226,Kerala,0,1,5,0,0,0
227,Kerala,0,1,3,0,0,0
228,Kerala,0,0,66,1,4,0
229,Kerala,0,1,61,1,5,0
230,Kerala,0,0,32,1,13,1
231,Kerala,0,1,25,1,11,0
232,Kerala,0,0,4,0,0,0
233,Kerala,0,0,70,1,2,0
234,Kerala,0,1,50,1,0,0
235,Kerala,0,0,28,0,10,1
236,Kerala,0,1,37,1,10,0
237,Kerala,0,0,16,0,10,0
238,Kerala,0,1,6,0,1,0
239,Kerala,0,0,45,1,10,1
240,Kerala,0,1,40,1,10,1
241,Kerala,0,1,12,0,7,0
242,Kerala,0,1,8,0,3,0
243,Kerala,0,0,40,1,10,1
244,Kerala,0,1,32,1,15,1
245,Kerala,0,0,8,0,2,0
246,Kerala,0,1,60,1,10,0
247,Kerala,0,0,68,1,9,1
248,Kerala,0,0,48,1,7,1
249,Kerala,0,1,41,1,6,0
250,Kerala,0,0,19,0,12,0
251,Kerala,0,0,42,1,10,1
252,Kerala,0,1,36,1,8,0
253,Kerala,0,0,15,0,9,0
254,Kerala,0,0,52,1,6,1
255,Kerala,0,1,44,1,10,1
256,Kerala,0,0,19,0,13,0
257,Kerala,0,1,16,0,10,0
258,Kerala,0,0,38,1,10,1
259,Kerala,0,1,31,1,12,0
260,Kerala,0,1,7,0,1,0
261,Kerala,0,0,52,1,7,1
262,Kerala,0,1,45,1,9,0
263,Kerala,0,1,19,0,14,0
264,Kerala,0,0,42,1,10,1
265,Kerala,0,1,34,1,12,1
266,Kerala,0,1,13,0,9,0
267,Kerala,0,0,12,0,7,0
268,Kerala,0,1,4,0,0,0
269,Kerala,0,1,23,1,13,0
270,Kerala,0,1,3,0,0,0
271,Kerala,0,1,0,0,0,0
272,Kerala,0,0,22,0,12,1
273,Kerala,0,1,26,1,12,0
274,Kerala,0,1,5,0,0,0
275,Kerala,0,1,2,0,0,0
276,Kerala,0,1,35,1,10,0
277,Kerala,0,0,15,0,9,0
278,Kerala,0,0,13,0,8,0
279,Kerala,0,0,1,0,0,0
280,Kerala,0,1,11,0,4,0
281,Kerala,0,1,6,0,0,0
282,Kerala,0,0,58,1,10,1
283,Kerala,0,1,52,1,10,1
284,Kerala,0,0,59,1,10,1
285,Kerala,0,1,46,1,10,0
286,Kerala,0,1,21,0,13,1
287,Kerala,0,1,18,0,12,0
288,Kerala,0,1,13,0,7,0
289,Kerala,0,0,52,1,7,0
290,Kerala,0,1,42,1,10,0
291,Kerala,0,0,12,0,6,0
292,Kerala,0,1,19,0,12,1
293,Kerala,0,1,39,1,10,0
294,Kerala,0,0,19,0,13,0
295,Kerala,0,0,15,0,9,0
296,Kerala,0,0,8,0,2,0
297,Kerala,0,1,5,0,0,0
298,Kerala,0,0,67,1,5,1
299,Kerala,0,1,56,1,5,1
300,Kerala,0,0,55,1,7,1
301,Kerala,0,1,50,1,10,1
302,Kerala,0,0,49,1,8,1
303,Kerala,0,1,48,1,10,1
304,Kerala,0,0,34,1,7,1
305,Kerala,0,1,29,1,12,0
306,Kerala,0,0,6,0,0,0
307,Kerala,0,0,3,0,0,0
308,Kerala,0,0,60,1,0,0
309,Kerala,0,1,61,1,0,0
310,Kerala,0,0,24,0,14,1
311,Kerala,0,0,45,1,10,1
312,Kerala,0,1,38,1,12,0
313,Kerala,0,0,9,0,4,0
314,Kerala,0,0,3,0,0,0
315,Kerala,0,1,11,0,5,0
316,Kerala,0,0,40,1,8,1
317,Kerala,0,1,35,1,10,1
318,Kerala,0,0,15,0,9,0
319,Kerala,0,1,9,0,3,0
320,Kerala,0,0,45,1,5,1
321,Kerala,0,1,40,1,7,0
322,Kerala,0,0,16,0,10,0
323,Kerala,0,0,42,1,8,1
324,Kerala,0,1,40,1,9,0
325,Kerala,0,0,15,0,9,0
326,Kerala,0,1,11,0,5,0
327,Kerala,0,1,8,0,2,0
328,Kerala,0,0,65,1,8,1
329,Kerala,0,1,56,1,12,0
330,Kerala,0,0,32,0,15,1
331,Kerala,0,0,65,1,8,1
332,Kerala,0,1,58,1,7,0
333,Kerala,0,0,33,0,12,1
334,Kerala,0,1,42,1,16,1
335,Kerala,0,0,14,0,8,0
336,Kerala,0,0,64,1,0,0
337,Kerala,0,1,54,1,10,0
338,Kerala,0,0,62,1,10,1
339,Kerala,0,1,52,1,12,1
340,Kerala,0,1,30,0,12,0
341,Kerala,0,1,25,1,17,1
342,Kerala,0,0,74,1,10,1
343,Kerala,0,1,68,1,10,0
344,Kerala,0,0,58,1,4,1
345,Kerala,0,1,51,1,7,1
346,Kerala,0,0,50,1,9,1
347,Kerala,0,1,43,1,8,1
348,Kerala,0,0,23,0,17,1
349,Kerala,0,0,19,0,14,0
350,Kerala,0,1,65,1,10,0
351,Kerala,0,0,60,1,6,1
352,Kerala,0,1,60,1,5,0
353,Kerala,0,0,38,1,10,1
354,Kerala,0,1,32,1,15,1
355,Kerala,0,1,56,1,4,1
356,Kerala,0,0,60,1,5,1
357,Kerala,0,0,68,1,8,1
358,Kerala,0,1,60,1,6,0
359,Kerala,0,0,28,0,15,1
360,Kerala,0,0,24,0,14,1
361,Kerala,0,0,42,1,10,1
362,Kerala,0,1,37,1,12,1
363,Kerala,0,0,58,1,8,1
